Item,Venue,Time,Region [ Region_warehouse ],Dollar Sales,Unit Sales,Days of Supply,Inventory Turns,Inventory On Hand,On Order,In Transit,Quantity Received,OOS,Warehouses Selling,Number of Warehouses,Flavor,Flavor / Scent,% Discount,Average Coupon Value,Average Promoted Price,Coupon Dollars,Coupon Units,Non Promoted Dollars,Non Promoted Units,Promoted Dollars,Promoted Units,Total Discount Dollars,Average Diesel Fuel Price per gallon,Average Regular Gas Price per gallon,Average Mid-grade Gas Price per gallon,Average Premium Gas Price per gallon,In Stock %
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 04-09-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.18,4.93,5.12,5.34,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 04-16-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.16,4.99,5.19,5.40,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 04-23-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.11,4.99,5.18,5.36,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 04-30-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.10,5.00,5.20,5.38,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 05-07-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.09,4.97,5.17,5.39,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 05-14-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.10,4.95,5.16,5.36,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 05-21-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.09,4.94,5.16,5.36,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 05-28-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.08,4.93,5.14,5.37,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 06-04-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.01,4.96,5.19,5.40,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 06-11-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.00,4.97,5.19,5.41,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 06-18-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.00,4.97,5.20,5.41,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1002 ANTIOCH,1 week ending 06-25-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.01,4.94,5.17,5.33,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 01-01-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.42,4.07,4.33,4.50,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 01-08-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.48,4.14,4.39,4.57,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 01-15-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.45,4.16,4.44,4.64,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 01-22-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.45,4.16,4.44,4.65,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 01-29-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.51,4.32,4.55,4.73,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 02-05-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.52,4.46,4.62,4.79,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 02-12-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.48,4.47,4.66,4.82,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 02-19-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.43,4.51,4.72,4.89,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 02-26-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.38,4.55,4.79,4.99,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 03-05-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.33,4.66,4.86,5.04,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 03-12-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.30,4.80,5.02,5.25,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 03-19-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.29,4.81,5.03,5.27,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 03-26-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.09,4.63,4.87,5.08,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 04-02-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.99,4.60,4.83,5.00,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1003 WOODLAND,1 week ending 04-09-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,4.95,4.60,4.83,4.99,
